"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"00746B","富邦A級公司債","櫃","05/02","","36.39","-0.33","-0.9","343","12.5","36.72","36.6","36.6","36.37","0.63","","","    ","    ","    ","    "
"00749B","凱基新興債10+","櫃","05/02","","31.81","-0.1","-0.31","118","3.77","31.91","31.91","31.91","31.81","0.31","","","    ","    ","    ","    "
"00750B","凱基科技債10+","櫃","05/02","","34.45","-0.36","-1.03","100","3.44","34.81","34.45","34.45","34.45","0","","","    ","    ","    ","    "
"00751B","元大AAA至A公司債","櫃","05/02","","34.95","-0.34","-0.96","22,869","800","35.29","34.98","35.05","34.93","0.34","","","    ","    ","    ","    "
"00752","中信中國50","市","05/02","","18.14","0","0","4,237","76.7","18.14","18.14","18.39","17.96","2.37","","","    ","    ","    ","    "
"00753L","中信中國50正2","市","05/02","","10.24","-0.01","-0.1","19,544","201","10.25","10.29","10.53","10.07","4.49","","","    ","    ","    ","    "
"00754B","群益AAA-AA公司債","櫃","05/02","","37.14","-0.43","-1.14","262","9.77","37.57","37.4","37.4","37.14","0.69","","","    ","    ","    ","    "
"00755B","群益15年IG公用債","櫃","05/02","","34.78","-0.28","-0.8","139","4.83","35.06","34.84","34.84","34.78","0.17","","","    ","    ","    ","    "
"00756B","群益15年EM主權債","櫃","05/02","","33.05","-0.13","-0.39","212","7","33.18","33.11","33.11","33.02","0.27","","","    ","    ","    ","    "
"00757","統一FANG+","市","05/02","","45.19","+0.32","+0.71","1,000","45.2","44.87","44.87","45.25","44.87","0.85","","","    ","    ","    ","    "
"00758B","復華能源債","櫃","05/02","","52.4","+0.1","+0.19","100","5.24","52.3","52.4","52.4","52.4","0","","","    ","    ","    ","    "
"00759B","復華製藥債","櫃","05/02","","57.05","-0.45","-0.78","166","9.49","57.5","57.35","57.35","57.05","0.52","","","    ","    ","    ","    "
"00760B","復華新興企業債","櫃","05/02","","53","-0.2","-0.38","572","30.3","53.2","53.2","53.2","52.8","0.75","","","    ","    ","    ","    "
"00761B","國泰A級公司債","櫃","05/02","","36.96","-0.22","-0.59","1,513","56","37.18","37.09","37.09","36.94","0.4","","","    ","    ","    ","    "
"00762","元大全球AI","市","05/02","","36.43","+0.08","+0.22","109","3.97","36.35","36.49","36.49","36.33","0.44","","","    ","    ","    ","    "
"00763U","期街口道瓊銅","市","05/02","","24.96","+0.21","+0.85","180","4.5","24.75","24.99","25.07","24.92","0.61","","","    ","    ","    ","    "
